NUSER,LOAD,SR,REQ/s_login,RES_TIME_login,CPU_login,MEM_login,REQ/s_get_catalogue1,RES_TIME_get_catalogue1,CPU_get_catalogue1,MEM_get_catalogue1,REQ/s_get_catalogue2,RES_TIME_get_catalogue2,CPU_get_catalogue2,MEM_get_catalogue2,REQ/s_get_catalogue3,RES_TIME_get_catalogue3,CPU_get_catalogue3,MEM_get_catalogue3,REQ/s_get_item,RES_TIME_get_item,CPU_get_item,MEM_get_item,REQ/s_get_related,RES_TIME_get_related,CPU_get_related,MEM_get_related,REQ/s_get_tags,RES_TIME_get_tags,CPU_get_tags,MEM_get_tags,REQ/s_get_cart,RES_TIME_get_cart,CPU_get_cart,MEM_get_cart,REQ/s_add_item_to_cart,RES_TIME_add_item_to_cart,CPU_add_item_to_cart,MEM_add_item_to_cart,REQ/s_get_orders,RES_TIME_get_orders,CPU_get_orders,MEM_get_orders,REQ/s_get_customer,RES_TIME_get_customer,CPU_get_customer,MEM_get_customer,REQ/s_get_card,RES_TIME_get_card,CPU_get_card,MEM_get_card,REQ/s_get_address,RES_TIME_get_address,CPU_get_address,MEM_get_address,CPU_carts-db,MEM_carts-db,CPU_catalogue-db,MEM_catalogue-db,CPU_front-end,MEM_front-end,CPU_orders-db,MEM_orders-db,CPU_payment,MEM_payment,CPU_queue-master,MEM_queue-master,CPU_rabbitmq,MEM_rabbitmq,CPU_session-db,MEM_session-db,CPU_shipping,MEM_shipping,CPU_user-db,MEM_user-db
4,normal,1,0.7423282639917625,49.0430662324442,2.7555555555555555,9.0,5.536764194585176,3.1874562332485503,5.155555555555556,7.477777777777778,2.026053833300826,46.76359869121541,5.155555555555556,7.477777777777778,2.026053833300826,3.565668724297697,5.155555555555556,7.477777777777778,2.768382097292588,46.29311784529202,5.155555555555556,7.477777777777778,2.0204724177820905,45.3609115693677,5.155555555555556,7.477777777777778,2.026053833300826,45.00305867938648,5.155555555555556,7.477777777777778,10.33120012517859,46.00350867274109,7.433333333333334,389.0,0.0,0.0,7.433333333333334,389.0,0.7423282639917625,46.96003372143758,2.477777777777778,375.0,4.794435930593414,45.31533173280004,2.7555555555555555,9.0,0.0,0.0,2.7555555555555555,9.0,0.0,0.0,2.7555555555555555,9.0,6.0777777777777775,58.0,4.833333333333333,446.0,34.06666666666667,99.75555555555556,4.0,32.0,1.0,4.0,2.0,320.0,19.0,118.0,4.0777777777777775,3.0,2.0,356.0,6.8,35.0
4,normal,1,0.7423075113357623,48.58927939199192,2.8722222222222222,9.0,5.536609407857716,3.2124179685319354,5.066666666666666,8.0,2.0259971925930955,46.49420910112088,5.066666666666666,8.0,2.0259971925930955,3.50414100936909,5.066666666666666,8.0,2.757142184961403,45.99674793218568,5.066666666666666,8.0,2.0204159331093683,45.036240812077175,5.066666666666666,8.0,2.0259971925930955,45.14288030803388,5.066666666666666,8.0,10.325330044895942,45.94766825601157,7.4222222222222225,389.0,0.0,0.0,7.4222222222222225,389.0,0.7423075113357623,47.15704447869912,2.5166666666666666,375.0,4.788720637038226,45.348671497777104,2.8722222222222222,9.0,0.0,0.0,2.8722222222222222,9.0,0.0,0.0,2.8722222222222222,9.0,5.872222222222222,59.0,4.711111111111111,446.0,34.111111111111114,98.12777777777778,4.0,32.0,1.0,4.0,2.0,320.0,19.0,118.0,3.8722222222222222,3.0,2.0,356.0,7.0,35.0
4,normal,1,0.7367797099627621,48.95986159842571,2.55,7.0,5.531429489190131,3.1784880010391143,4.716666666666667,7.0,2.026144202397596,46.61788581549793,4.716666666666667,7.0,2.026144202397596,3.6021776032454405,4.716666666666667,7.0,2.762923912360358,46.23740774745003,4.716666666666667,7.0,2.014980873458766,45.36106314956661,4.716666666666667,7.0,2.026144202397596,44.77717091456415,4.716666666666667,7.0,10.309334275009254,45.835009335136526,8.5,373.6166666666667,0.0,0.0,8.5,373.6166666666667,0.7367797099627621,47.27424158334709,3.4444444444444446,357.0,4.789068114757954,45.43650816079298,2.55,7.0,0.0,0.0,2.55,7.0,0.0,0.0,2.55,7.0,5.855555555555555,35.0,4.888888888888889,411.0,34.00555555555555,97.10555555555555,4.0,32.0,1.0,4.0,2.0,326.0,21.0,123.0,3.855555555555556,3.0,2.0,349.0,7.0,32.0
4,normal,5,0.7479508504274778,49.13458172336165,2.8666666666666667,10.055555555555555,5.581722764384162,3.1933051854139194,5.055555555555555,8.0,2.0429105317646035,46.68163519977373,5.055555555555555,8.0,2.0429105317646035,3.326032548962171,5.055555555555555,8.0,2.7741162138989286,46.10364290958709,5.055555555555555,8.0,2.026165363471451,45.521264156254816,5.055555555555555,8.0,2.0429105317646035,45.191989974004265,5.055555555555555,8.0,10.38200434175454,46.18564620545204,8.244444444444444,388.0,0.0,0.0,8.244444444444444,388.0,0.7479508504274778,46.87298396289516,2.6222222222222222,376.0,4.800281577370379,45.19894742731785,2.8666666666666667,10.055555555555555,0.0,0.0,2.8666666666666667,10.055555555555555,0.0,0.0,2.8666666666666667,10.055555555555555,6.811111111111111,133.0,4.433333333333334,448.0,35.28888888888889,74.15555555555555,4.0,35.0,1.0,4.0,2.0,316.0,19.0,117.0,3.8666666666666663,3.0,2.0,363.0,6.944444444444445,37.0
4,normal,5,0.7309730142831878,56.13969958015936,3.8333333333333335,7.0,5.446027953743445,5.05988806762933,7.788888888888889,7.0,1.9920409625885347,47.65005577870137,7.788888888888889,7.0,1.9920409625885347,5.103602932769402,7.788888888888889,7.0,2.7230139768717225,47.40778875000309,7.788888888888889,7.0,1.9864610159146168,48.54594380617783,7.788888888888889,7.0,1.9920409625885347,47.22227684035789,7.788888888888889,7.0,10.161082893203702,49.52041820099328,21.288888888888888,360.8666666666667,0.0,0.0,21.288888888888888,360.8666666666667,0.7309730142831878,48.84886514498477,4.566666666666666,364.8555555555556,4.715054939460257,48.29836101777408,3.8333333333333335,7.0,0.0,0.0,3.8333333333333335,7.0,0.0,0.0,3.8333333333333335,7.0,6.833333333333333,34.56111111111111,6.811111111111111,410.8555555555556,47.62222222222222,89.7388888888889,4.0,32.0,1.0,4.0,2.0,298.0,44.6,126.0,4.833333333333333,3.0,2.0,331.0,8.561111111111112,32.0
4,normal,5,0.7381605497144531,52.55651846211108,3.7777777777777777,7.0,5.469098618338903,5.168202062377681,7.944444444444445,7.0,1.9963887594549985,47.54491811486294,7.944444444444445,7.0,1.9963887594549985,5.225151310923411,7.944444444444445,7.0,2.734549309169452,47.56183626583944,7.944444444444445,7.0,1.9963887594549985,48.31568399719649,7.944444444444445,7.0,1.9963887594549985,47.37864121288104,7.944444444444445,7.0,10.200036686963353,48.14814055866163,10.633333333333333,361.0,0.0,0.0,10.633333333333333,361.0,0.7381605497144531,48.4356870075923,4.366666666666666,367.0,4.73093806862445,48.41029001773627,3.7777777777777777,7.0,0.0,0.0,3.7777777777777777,7.0,0.0,0.0,3.7777777777777777,7.0,6.777777777777778,35.0,6.711111111111111,411.3,46.4,97.05555555555556,4.0,32.0,1.0,4.0,2.0,298.0,43.94444444444444,127.0,4.777777777777778,3.0,2.0,331.0,8.544444444444444,32.0
4,normal,10,0.7482566104846157,49.55383303832374,2.861111111111111,11.0,5.5505005285202085,3.4447820377920264,5.044444444444444,9.0,2.0269936537754885,46.7128643769894,5.044444444444444,9.0,2.0269936537754885,3.5997657939155405,5.044444444444444,9.0,2.775250264260104,46.32854136925048,5.044444444444444,9.0,2.0269936537754885,45.42219786925277,5.044444444444444,9.0,2.0269936537754885,45.48099126535937,5.044444444444444,9.0,10.352744446555802,46.52724440645089,7.5,391.0,0.0,0.0,7.5,391.0,0.7482566104846157,47.091073865668655,2.727777777777778,381.0,4.802243918035593,45.70919013078606,2.861111111111111,11.0,0.0,0.0,2.861111111111111,11.0,0.0,0.0,2.861111111111111,11.0,7.316666666666666,118.0,4.9944444444444445,448.0,32.30555555555556,85.88888888888889,4.0,34.0,1.0,4.0,2.0,318.0,19.0,118.0,3.588888888888889,3.0,2.0,356.0,7.0,37.0
4,normal,10,0.7478472156669744,50.86363974640253,2.2333333333333334,7.0,5.547463674425169,3.338906344670359,4.394444444444445,6.0,2.0258846215456097,46.35609133313692,4.394444444444445,6.0,2.0258846215456097,3.635905716233417,4.394444444444445,6.0,2.768150887841935,46.25715675457844,4.394444444444445,6.0,2.0258846215456097,45.16640048767998,4.394444444444445,6.0,2.0258846215456097,45.23156611041997,4.394444444444445,6.0,10.347080133183365,47.32803131600845,20.15,355.85,0.0,0.0,20.15,355.85,0.7478472156669744,47.14519312701261,3.2333333333333334,363.0,4.794035509387545,45.41617262146202,2.2333333333333334,7.0,0.0,0.0,2.2333333333333334,7.0,0.0,0.0,2.2333333333333334,7.0,5.233333333333333,34.0,4.777777777777778,410.9277777777778,31.55555555555556,89.37777777777778,4.0,32.0,1.0,4.0,2.0,325.0,20.377777777777776,117.92777777777778,3.161111111111111,2.0,2.0,341.0,7.0,32.07222222222222
4,normal,10,0.7479156560540282,48.85216461213952,2.3666666666666667,7.0,5.581460119806181,3.3632609522901475,4.877777777777778,7.0,2.042814403849062,46.44080809576919,4.877777777777778,7.0,2.042814403849062,3.486150543856221,4.877777777777778,7.0,2.7851485997832843,46.20403463320941,4.877777777777778,7.0,2.0260700234896434,45.37047354598111,4.877777777777778,7.0,2.042814403849062,45.05263158464372,4.877777777777778,7.0,10.398260203198914,46.02078986778936,7.688888888888889,353.1611111111111,0.0,0.0,7.688888888888889,353.1611111111111,0.7479156560540282,47.106149708595886,3.6777777777777776,363.0,4.816800083392734,45.431709272472936,2.3666666666666667,7.0,0.0,0.0,2.3666666666666667,7.0,0.0,0.0,2.3666666666666667,7.0,5.588888888888889,34.52777777777778,4.733333333333333,411.0,30.677777777777777,88.46111111111111,4.0,32.0,1.0,4.0,2.0,324.0,20.83888888888889,118.0,3.4277777777777776,2.161111111111111,2.0,341.0,7.0,32.30555555555556
4,stress_cart,1,2.654385736315516,48.77920633476032,4.111111111111111,11.0,6.158174908251998,3.259218344169106,4.111111111111111,9.0,0.4247017178104826,46.58593766477057,4.111111111111111,9.0,0.4247017178104826,3.657362889498472,4.111111111111111,9.0,4.353192607557447,45.4003640832511,4.111111111111111,9.0,0.8494034356209652,45.348970535039705,4.111111111111111,9.0,0.4247017178104826,44.60019720289366,4.111111111111111,9.0,10.511367515809445,46.359423962523216,9.811111111111112,377.0,0.4247017178104826,7.004850118200442,9.811111111111112,377.0,3.079087454125999,46.95514925990504,4.488888888888889,365.0,4.353192607557447,46.03628370796112,4.111111111111111,11.0,0.4247017178104826,46.085888121620215,4.111111111111111,11.0,0.4247017178104826,45.47204397998652,4.111111111111111,11.0,7.7555555555555555,85.0,4.488888888888889,446.0,39.66666666666666,78.1,4.0,33.0,1.0,4.0,2.0,327.0,18.944444444444443,118.0,4.188888888888889,3.0,2.0,333.0,7.622222222222222,36.0
4,stress_cart,1,2.6514197813924265,48.84154243002597,4.15,10.0,6.156875829212308,3.2610226496851453,4.472222222222222,8.0,0.4242271650227882,46.51171048049276,4.472222222222222,8.0,0.4242271650227882,3.5757888690568507,4.472222222222222,8.0,4.348328441483579,45.295090973496784,4.472222222222222,8.0,0.8484543300455765,45.121555977905366,4.472222222222222,8.0,0.4242271650227882,44.75963409487648,4.472222222222222,8.0,10.499622334314008,46.20299780860658,9.366666666666667,377.0,0.4242271650227882,6.892522429361155,9.366666666666667,377.0,3.0756469464152145,47.051489692495736,4.405555555555556,365.0,4.348328441483579,45.5949776139426,4.15,10.0,0.4242271650227882,45.781248812808805,4.15,10.0,0.4242271650227882,45.57658491447862,4.15,10.0,7.522222222222222,86.0,4.455555555555556,446.0,40.03888888888889,78.42222222222222,4.0,33.0,1.0,4.0,2.0,327.0,19.0,118.0,4.133333333333334,3.0,2.0,333.0,7.694444444444445,36.0
4,stress_cart,1,2.6603585639561764,48.730999774638086,3.7888888888888888,8.0,6.17203186837833,3.216821225013801,4.333333333333333,7.0,0.4256573702329882,46.92552334209292,4.333333333333333,7.0,0.4256573702329882,3.5411746053604904,4.333333333333333,7.0,4.362988044888129,45.3842774081919,4.333333333333333,7.0,0.8513147404659764,45.64389784196752,4.333333333333333,7.0,0.4256573702329882,44.40282997376543,4.333333333333333,7.0,10.535019913266458,46.15195230140054,9.744444444444444,373.0,0.4256573702329882,6.994294789556558,9.744444444444444,373.0,3.086015934189165,47.18209078770276,7.788888888888889,360.0,4.362988044888129,45.55285487924326,3.7888888888888888,8.0,0.4256573702329882,45.95843385528784,3.7888888888888888,8.0,0.4256573702329882,45.32341015769098,3.7888888888888888,8.0,7.333333333333333,36.0,4.483333333333333,411.0,39.422222222222224,98.04444444444444,4.0,32.0,1.0,4.0,2.0,324.0,21.85,123.45555555555556,3.938888888888889,3.0,2.0,349.0,7.544444444444444,32.0
4,stress_cart,5,2.673463617123889,49.360767228768005,3.911111111111111,11.0,6.206454159168611,3.536839327392195,4.233333333333333,9.0,0.4297634624604163,46.7365443564395,4.233333333333333,9.0,0.4297634624604163,3.560870513924724,4.233333333333333,9.0,4.386936123297237,45.7504275946584,4.233333333333333,9.0,0.8595269249208327,45.80910795129376,4.233333333333333,9.0,0.4297634624604163,44.62664323864964,4.233333333333333,9.0,10.593390282465847,46.722025446003954,9.566666666666666,383.0,0.4297634624604163,7.588433154689318,9.566666666666666,383.0,3.1032270795843053,47.038414436828,4.133333333333334,378.0,4.386936123297237,46.12435136611263,3.911111111111111,11.0,0.4297634624604163,46.110200787918615,3.911111111111111,11.0,0.4297634624604163,45.296923655036885,3.911111111111111,11.0,8.266666666666667,107.0,4.233333333333333,447.0,35.78888888888889,109.73333333333332,4.0,34.0,1.0,4.0,2.0,331.0,19.61111111111111,116.0,3.811111111111111,3.0,2.0,342.0,7.711111111111111,38.0
4,stress_cart,5,2.678779041689745,49.20519421111388,3.922222222222222,10.0,6.218793933943626,3.33284690907885,4.2444444444444445,8.0,0.4306179252820676,46.44778590080897,4.2444444444444445,8.0,0.4306179252820676,3.633198713847472,4.2444444444444445,8.0,4.401250742818016,45.36508614202699,4.2444444444444445,8.0,0.8612358505641353,45.2523491089837,4.2444444444444445,8.0,0.4306179252820676,44.77883032644046,4.2444444444444445,8.0,10.620044676761642,46.537426308500216,9.588888888888889,383.0,0.4306179252820676,7.658726611331879,9.588888888888889,383.0,3.109396966971813,47.13412471347582,4.144444444444445,378.0,4.401250742818016,45.56934800655185,3.922222222222222,10.0,0.4306179252820676,46.43232767869319,3.922222222222222,10.0,0.4306179252820676,45.53612560493412,3.922222222222222,10.0,8.022222222222222,108.0,4.333333333333333,447.0,37.06666666666667,104.32222222222222,4.0,34.0,1.0,4.0,2.0,331.0,19.0,116.0,4.011111111111111,3.0,2.0,342.0,7.777777777777778,38.0
4,stress_cart,5,2.6281968094151864,52.95106862420058,5.966666666666667,7.0,6.087818936458532,5.160512534362032,6.566666666666666,7.0,0.4185026766584692,46.64996802664973,6.566666666666666,7.0,0.4185026766584692,4.845805413315247,6.566666666666666,7.0,4.268727301916385,47.80626567843285,6.566666666666666,7.0,0.8370053533169384,48.58411301327578,6.566666666666666,7.0,0.4185026766584692,46.96123240001422,6.566666666666666,7.0,10.367706309752476,48.45704584770277,14.3,360.56666666666666,0.4185026766584692,10.713877399951649,14.3,360.56666666666666,3.0243793433185373,49.44882129890289,12.533333333333331,367.1333333333333,4.274307337605165,48.662175691907166,5.966666666666667,7.0,0.4129226409696895,48.47158058109434,5.966666666666667,7.0,0.4129226409696895,48.44009275676227,5.966666666666667,7.0,8.7,35.0,5.8,411.0,53.266666666666666,99.53333333333332,4.733333333333333,32.0,1.0,4.0,2.0,297.0,43.73333333333333,127.0,5.366666666666666,3.0,2.0,331.0,9.466666666666669,32.0
4,stress_cart,10,2.6733732757523363,49.49843680577465,3.7,9.0,6.200663276327443,3.474503278381901,4.294444444444444,8.0,0.4297489399434862,46.60381140284144,4.294444444444444,8.0,0.4297489399434862,3.6266698266149726,4.294444444444444,8.0,4.358882105141074,45.76627233199222,4.294444444444444,8.0,0.8539167248227713,45.3670543475454,4.294444444444444,8.0,0.4297489399434862,44.86376692407897,4.294444444444444,8.0,10.559545381468515,47.20526571724225,11.016666666666667,391.0,0.4297489399434862,8.193356015223575,11.016666666666667,391.0,3.0919599055674203,47.16512726179395,4.105555555555555,367.0,4.364463260205275,46.263097170585546,3.7,9.0,0.4241677848792851,46.006730291992426,3.7,9.0,0.4241677848792851,45.69395758689528,3.7,9.0,8.161111111111111,56.27222222222223,4.7,446.0,36.15,73.68888888888888,4.0,33.0,1.0,4.0,2.0,325.0,20.0,116.0,3.783333333333333,3.0,2.0,367.0,7.594444444444444,35.0
4,stress_cart,10,2.682852499553082,48.95657328625077,3.6222222222222222,7.0,6.228250479129493,3.303570056716466,4.238888888888889,7.0,0.4312727400116645,46.62243854621117,4.238888888888889,7.0,0.4312727400116645,3.5227831680246013,4.238888888888889,7.0,4.40794345959974,45.36772623347246,4.238888888888889,7.0,0.8625454800233291,45.28598575926516,4.238888888888889,7.0,0.4312727400116645,44.75544268879949,4.238888888888889,7.0,10.636193938729232,46.21470838650242,10.105555555555556,348.0,0.4312727400116645,7.016788583586004,10.105555555555556,348.0,3.1141252395647463,47.3803067892627,5.627777777777778,364.0,4.40794345959974,45.4910655959043,3.6222222222222222,7.0,0.4312727400116645,45.68663394730992,3.6222222222222222,7.0,0.4312727400116645,45.262290532027926,3.6222222222222222,7.0,6.894444444444445,37.0,4.583333333333333,411.0,36.16111111111111,86.98333333333333,4.0,32.0,1.0,4.0,2.0,322.0,21.0,119.0,3.9,2.0,2.0,341.0,7.655555555555556,32.0
4,stress_cart,10,2.6777045363505354,49.27455290839332,3.688888888888889,7.0,6.21629946643381,3.509325085314813,4.438888888888889,7.0,0.4304451968663699,46.81476285622921,4.438888888888889,7.0,0.4304451968663699,3.51147263521758,4.438888888888889,7.0,4.399485323816015,45.58447251373945,4.438888888888889,7.0,0.8608903937327399,45.36904843487057,4.438888888888889,7.0,0.4304451968663699,44.71391049446538,4.438888888888889,7.0,10.615784790249826,46.3322408900879,10.505555555555556,349.8722222222222,0.4304451968663699,8.389022519929915,10.505555555555556,349.8722222222222,3.108149733216905,47.46884878945919,11.477777777777778,363.75,4.399485323816015,45.77883814351401,3.688888888888889,7.0,0.4304451968663699,46.046113234403386,3.688888888888889,7.0,0.4304451968663699,45.30789829864675,3.688888888888889,7.0,6.688888888888889,35.75,4.561111111111111,411.0,34.894444444444446,95.62777777777778,4.0,32.0,1.0,4.0,2.0,322.0,21.06111111111111,119.0,3.688888888888889,2.0,2.0,341.0,7.75,32.0
4,stress_shop,1,2.031550942929763,48.80174917023716,5.177777777777778,8.0,6.619284116249173,3.1750506382847283,6.366666666666666,7.0,1.2780911151948235,46.752834056713645,6.366666666666666,7.0,1.2780911151948235,3.457988222597592,6.366666666666666,7.0,7.132753035890762,45.47175839129046,6.366666666666666,7.0,2.556182230389647,45.42372264186905,6.366666666666666,7.0,1.2780911151948235,45.02841298244477,6.366666666666666,7.0,13.752037152139934,45.96558532140735,11.85,372.0,1.2780911151948235,6.761103087256349,11.85,372.0,3.298479690306291,47.51007209312749,11.03888888888889,363.44444444444446,7.132753035890762,45.39544233791812,5.177777777777778,8.0,1.2780911151948235,45.41364945389949,5.177777777777778,8.0,1.2780911151948235,45.24305672048008,5.177777777777778,8.0,7.872222222222222,38.0,5.872222222222222,411.0,52.33888888888889,95.49444444444444,4.0,32.0,1.0,4.0,2.0,324.0,21.98333333333333,123.0,5.277777777777778,3.0,2.0,349.0,8.188888888888888,32.1
4,stress_shop,1,2.020502095748978,48.997861535863,5.411111111111111,8.0,6.602911544947627,3.200522263704045,6.466666666666667,7.0,1.278162927973801,46.7116283318446,6.466666666666667,7.0,1.278162927973801,3.496134353879896,6.466666666666667,7.0,7.127572310142113,45.50947160766989,6.466666666666667,7.0,2.556325855947602,45.41587854800719,6.466666666666667,7.0,1.278162927973801,44.99760549324849,6.466666666666667,7.0,13.736065352591808,46.06773248028718,12.483333333333333,372.6833333333333,1.278162927973801,6.662029816716194,12.483333333333333,372.6833333333333,3.298665023722779,47.49058353633489,12.383333333333333,358.9888888888889,7.133153807644182,45.49313763383284,5.411111111111111,8.0,1.278162927973801,45.63401428396789,5.411111111111111,8.0,1.278162927973801,45.58622485601359,5.411111111111111,8.0,8.1,37.0,6.1,411.0,52.87222222222222,96.2388888888889,4.0,32.0,1.0,4.0,2.0,324.0,22.0,122.0,5.416666666666667,3.0,2.0,349.0,8.366666666666667,32.0
4,stress_shop,1,2.031472201573984,49.0770368737935,5.677777777777778,8.0,6.619027557875672,3.1639130371258086,6.433333333333334,7.0,1.2780415773638525,46.75259328822264,6.433333333333334,7.0,1.2780415773638525,3.4334423449827107,6.433333333333334,7.0,7.132476575855909,45.490181884989326,6.433333333333334,7.0,2.5560831547277045,45.2991186245316,6.433333333333334,7.0,1.2780415773638525,44.79028424904207,6.433333333333334,7.0,13.74592316614484,45.98012589076295,12.11111111111111,373.0,1.2780415773638525,6.770463904135736,12.11111111111111,373.0,3.303932811351094,47.49307931420058,7.411111111111111,359.45,7.132476575855909,45.43453167215445,5.677777777777778,8.0,1.2780415773638525,45.665876904069,5.677777777777778,8.0,1.2780415773638525,45.44500914416223,5.677777777777778,8.0,7.783333333333333,37.0,5.922222222222223,411.0,52.61666666666667,97.94444444444444,4.0,32.0,1.0,4.0,2.0,324.0,22.0,122.0,5.472222222222222,3.0,2.0,349.0,8.205555555555556,32.0
4,stress_shop,5,2.038120172113344,48.95012857366915,4.966666666666667,11.0,6.655997931942757,3.3043252418267746,5.966666666666667,9.0,1.2898787938580345,46.48580550804766,5.966666666666667,9.0,1.2898787938580345,3.4934107478288734,5.966666666666667,9.0,7.197635347545481,45.69097855193375,5.966666666666667,9.0,2.579757587716069,46.09029272115624,5.966666666666667,9.0,1.2898787938580345,45.12315947719692,5.966666666666667,9.0,13.853633279488236,46.37321505447078,11.255555555555556,377.0,1.2898787938580345,7.00190314494912,11.255555555555556,377.0,3.3279989659713785,46.83417049017829,4.322222222222222,367.0,7.197635347545481,45.86719109783711,4.966666666666667,11.0,1.2898787938580345,45.81857391016244,4.966666666666667,11.0,1.2898787938580345,45.83743813213815,4.966666666666667,11.0,8.466666666666667,106.0,5.966666666666667,447.0,48.27777777777778,83.26666666666667,4.0,34.0,1.0,4.0,2.0,327.0,19.322222222222223,118.0,4.644444444444445,3.0,2.0,333.0,8.322222222222223,36.0
4,stress_shop,5,1.9808997765554075,52.82121831727012,8.127777777777778,8.0,6.447744598476383,5.08541527419176,9.505555555555556,7.0,1.2457783297317293,47.511248860344594,9.505555555555556,7.0,1.2457783297317293,5.088345373994204,9.505555555555556,7.0,6.941566639090762,47.93469743894131,9.505555555555556,7.0,2.4915566594634586,48.38943964864279,9.505555555555556,7.0,1.2457783297317293,47.584430427902205,9.505555555555556,7.0,13.400534465762927,48.73517253729502,17.455555555555556,361.0,1.2457783297317293,10.466472936952398,17.455555555555556,361.0,3.2154548780913554,48.46250189004254,7.988888888888889,367.0,6.947178253188653,48.67686581983817,8.127777777777778,8.0,1.2401667156338387,48.801638325743816,8.127777777777778,8.0,1.2401667156338387,48.836497194476095,8.127777777777778,8.0,9.21111111111111,37.83888888888889,8.35,411.0,69.64444444444445,94.58888888888887,4.838888888888889,32.16111111111111,1.0,4.0,2.0,297.0,40.2,126.0,6.372222222222222,3.0,2.0,331.0,10.055555555555555,32.0
